Attaching to grafana-practica, prometheus-practica, postgres-practica, loki-practica, redis-practica, nginx-practica
[36mgrafana-practica |[0m logger=settings t=2025-12-01T04:19:08.921452334Z level=info msg="Starting Grafana" version=12.3.0 commit=20051fb1fc604fc54aae76356da1c14612af41d0 branch=release-12.3.0 compiled=2025-12-01T04:19:08Z
[36mgrafana-practica |[0m logger=settings t=2025-12-01T04:19:08.923750851Z level=info msg="Config loaded from" file=/usr/share/grafana/conf/defaults.ini
[36mgrafana-practica |[0m logger=settings t=2025-12-01T04:19:08.923767522Z level=info msg="Config loaded from" file=/etc/grafana/grafana.ini
[36mgrafana-practica |[0m logger=settings t=2025-12-01T04:19:08.92377189Z level=info msg="Config overridden from command line" arg="default.paths.data=/var/lib/grafana"
[36mgrafana-practica |[0m logger=settings t=2025-12-01T04:19:08.923774796Z level=info msg="Config overridden from command line" arg="default.paths.logs=/var/log/grafana"
[36mgrafana-practica |[0m logger=settings t=2025-12-01T04:19:08.923778052Z level=info msg="Config overridden from command line" arg="default.paths.plugins=/var/lib/grafana/plugins"
[36mgrafana-practica |[0m logger=settings t=2025-12-01T04:19:08.923780456Z level=info msg="Config overridden from command line" arg="default.paths.provisioning=/etc/grafana/provisioning"
[36mgrafana-practica |[0m logger=settings t=2025-12-01T04:19:08.923923194Z level=info msg="Config overridden from command line" arg="default.log.mode=console"
[36mgrafana-practica |[0m logger=settings t=2025-12-01T04:19:08.923968309Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_DATA=/var/lib/grafana"
[36mgrafana-practica |[0m logger=settings t=2025-12-01T04:19:08.92397408Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_LOGS=/var/log/grafana"
[36mgrafana-practica |[0m logger=settings t=2025-12-01T04:19:08.923976755Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_PLUGINS=/var/lib/grafana/plugins"
[36mgrafana-practica |[0m logger=settings t=2025-12-01T04:19:08.92397929Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_PROVISIONING=/etc/grafana/provisioning"
[36mgrafana-practica |[0m logger=settings t=2025-12-01T04:19:08.923981784Z level=info msg="Config overridden from Environment variable" var="GF_SECURITY_ADMIN_PASSWORD=*********"
[36mgrafana-practica |[0m logger=settings t=2025-12-01T04:19:08.923985842Z level=info msg="Config overridden from Environment variable" var="GF_USERS_ALLOW_SIGN_UP=false"
[36mgrafana-practica |[0m logger=settings t=2025-12-01T04:19:08.924084127Z level=info msg=Target target=[all]
[36mgrafana-practica |[0m logger=settings t=2025-12-01T04:19:08.924125765Z level=info msg="Path Home" path=/usr/share/grafana
[36mgrafana-practica |[0m logger=settings t=2025-12-01T04:19:08.924134682Z level=info msg="Path Data" path=/var/lib/grafana
[36mgrafana-practica |[0m logger=settings t=2025-12-01T04:19:08.924137166Z level=info msg="Path Logs" path=/var/log/grafana
[36mgrafana-practica |[0m logger=settings t=2025-12-01T04:19:08.92413934Z level=info msg="Path Plugins" path=/var/lib/grafana/plugins
[36mgrafana-practica |[0m logger=settings t=2025-12-01T04:19:08.924141815Z level=info msg="Path Provisioning" path=/etc/grafana/provisioning
[36mgrafana-practica |[0m logger=settings t=2025-12-01T04:19:08.92414429Z level=info msg="App mode production"
[36mgrafana-practica |[0m logger=featuremgmt t=2025-12-01T04:19:08.926659012Z level=info msg=FeatureToggles cloudWatchRoundUpEndTime=true dashboardDsAdHocFiltering=true recordedQueriesMulti=true formatString=true panelMonitoring=true alertingUIOptimizeReducer=true publicDashboardsScene=true improvedExternalSessionHandling=true unifiedRequestLog=true alertingMigrationUI=true onlyStoreActionSets=true addFieldFromCalculationStatFunctions=true dashboardScene=true cloudWatchNewLabelParsing=true transformationsRedesign=true dataplaneFrontendFallback=true kubernetesDashboards=true tlsMemcached=true useSessionStorageForRedirection=true improvedExternalSessionHandlingSAML=true newLogsPanel=true azureMonitorPrometheusExemplars=true azureMonitorEnableUserAuth=true grafanaAssistantInProfilesDrilldown=true alertRuleRestore=true adhocFiltersInTooltips=true dashboardSceneSolo=true sharingDashboardImage=true lokiLabelNamesQueryApi=true alertingUseNewSimplifiedRoutingHashAlgorithm=true dashboardSceneForViewers=true alertingQueryAndExpressionsStepMode=true alertingRulePermanentlyDelete=true alertingRuleRecoverDeleted=true dashgpt=true alertingSaveStateCompressed=true cloudWatchCrossAccountQuerying=true logsContextDatasourceUi=true logsPanelControls=true grafanaconThemes=true awsAsyncQueryCaching=true prometheusAzureOverrideAudience=true ssoSettingsLDAP=true pinNavItems=true groupToNestedTableTransformation=true correlations=true lokiQuerySplitting=true logsInfiniteScrolling=true awsDatasourcesTempCredentials=true newFiltersUI=true onPremToCloudMigrations=true alertingBulkActionsInUI=true influxdbBackendMigration=true logsExploreTableVisualisation=true logRowsPopoverMenu=true unifiedStorageHistoryPruner=true alertingNotificationsStepMode=true preinstallAutoUpdate=true annotationPermissionUpdate=true alertingRuleVersionHistoryRestore=true preventPanelChromeOverflow=true alertingImportYAMLUI=true newPDFRendering=true
[36mgrafana-practica |[0m logger=sqlstore t=2025-12-01T04:19:08.926719445Z level=info msg="Connecting to DB" dbtype=sqlite3
[36mgrafana-practica |[0m logger=sqlstore t=2025-12-01T04:19:08.926937484Z level=info msg="Using SQLite driver" driver="mattn/go-sqlite3 (CGO enabled)"
[36mgrafana-practica |[0m logger=sqlstore t=2025-12-01T04:19:08.926956069Z level=info msg="Creating SQLite database file" path=/var/lib/grafana/grafana.db
[36mgrafana-practica |[0m logger=migrator t=2025-12-01T04:19:08.986224533Z level=info msg="Locking database"
[36mgrafana-practica |[0m logger=migrator t=2025-12-01T04:19:08.986538653Z level=info msg="Starting DB migrations"
[36mgrafana-practica |[0m logger=migrator t=2025-12-01T04:19:08.988003103Z level=info msg="Executing migration" id="create migration_log table"
[36mgrafana-practica |[0m logger=migrator t=2025-12-01T04:19:08.989186425Z level=info msg="Migration successfully executed" id="create migration_log table" duration=1.182911ms
[36mgrafana-practica |[0m logger=migrator t=2025-12-01T04:19:08.995716276Z level=info msg="Executing migration" id="create user table"
[36mgrafana-practica |[0m logger=migrator t=2025-12-01T04:19:08.996422081Z level=info msg="Migration successfully executed" id="create user table" duration=704.402µs
[36mgrafana-practica |[0m logger=migrator t=2025-12-01T04:19:09.001052324Z level=info msg="Executing migration" id="add unique index user.login"
